Country Name,Country Code,Indicator Name,Indicator Code,2017,2018,2019,2020,2021
Aruba,ABW,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4239900000,4376900000,4569400000,4792000000,
,AFE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Afganistán,AFG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,4.74E+11,4.86E+11,5.14E+11,5.76E+11,
,AFW,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Angola,AGO,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,6.52E+12,7.85E+12,1.02E+13,1.27E+13,
Albania,ALB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.27E+12,1.26E+12,1.32E+12,1.46E+12,
Andorra,AND,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
El mundo árabe,ARB,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Emiratos Árabes Unidos,ARE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.28E+12,1.31E+12,1.41E+12,1.48E+12,
Argentina,ARG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.03E+12,,,,
Armenia,ARM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.58E+12,2.78E+12,3.09E+12,3.36E+12,
Samoa Americana,ASM,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Antigua y Barbuda,ATG,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3618290000,3879113444,3861705720,3524983062,
Australia,AUS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.05E+12,2.10E+12,2.39E+12,2.72E+12,
Austria,AUT,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Azerbaiyán,AZE,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,22772070451,24060393175,28866306172,29185807572,
Burundi,BDI,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.50E+12,1.80E+12,2.20E+12,2.73E+12,
Bélgica,BEL,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Benin,BEN,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,2.11E+12,2.21E+12,2.35E+12,2.75E+12,
Burkina Faso,BFA,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,3.37E+12,3.72E+12,4.06E+12,4.78E+12,
Bangladesh,BGD,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,1.30E+13,1.45E+13,1.62E+13,1.83E+13,
Bulgaria,BGR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,85727240000,93252630000,1.02E+11,1.14E+11,
Bahrein,BHR,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,,,,,
Bahamas,BHS,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,6953862535,,,,
Bosnia y Herzegovina,BIH,Masa monetaria (moneda local actual),FM.LBL.BMNY.CN,22116292440,24191076634,26332693829,28248989825,
